name	location	url	type	coordinates	description
Acadia National Park	Maine	https://en.wikipedia.org/wiki/Acadia_National_Park	National parks	44.350; -68.217	Acadia National Park is an American national park located along the mid-section of the Maine coast, southwest of Bar Harbor.  The park preserves about half of Mount Desert Island, part of the Isle au Haut, the tip of the Schoodic Peninsula, and portions of 16 smaller outlying islands.
National Park of American Samoa	American Samoa	https://en.wikipedia.org/wiki/National_Park_of_American_Samoa	National parks	-14.25833; -170.68333	The National Park of American Samoa is a national park in the United States territory of American Samoa, distributed across four islands: Tutuila, Ofu, Olosega, and Ta‘ū.  The park preserves and protects coral reefs, tropical rainforests, fruit bats, and the Samoan culture.
Arches National Park	Utah	https://en.wikipedia.org/wiki/Arches_National_Park	National parks	38.72806; -109.54000	Arches National Park is a national park in eastern Utah, United States.  The park is adjacent to the Colorado River, 4 mi (6 km) north of Moab, Utah.
Badlands National Park	South Dakota	https://en.wikipedia.org/wiki/Badlands_National_Park	National parks	43.750; -102.500	Badlands National Park (Lakota: Makȟóšiča[3]) is an American national park located in southwestern South Dakota.  The park protects 242,756 acres (379.3 sq mi; 982.4 km2)[1] of sharply eroded buttes and pinnacles, along with the largest undisturbed mixed grass prairie in the United States.
Big Bend National Park	Texas	https://en.wikipedia.org/wiki/Big_Bend_National_Park	National parks	29.25000; -103.25000	Big Bend National Park is an American national park located in West Texas, bordering Mexico.  The park has national significance as the largest protected area of Chihuahuan Desert topography and ecology in the United States,[3] and was named after a large bend in the Rio Grande/Río Bravo.
Biscayne National Park	Florida	https://en.wikipedia.org/wiki/Biscayne_National_Park	National parks	25.46944; -80.18611	Unknown
Black Canyon of the Gunnison National Park	Colorado	https://en.wikipedia.org/wiki/Black_Canyon_of_the_Gunnison_National_Park	National parks	38.56667; -107.71667	Unknown
Bryce Canyon National Park	Utah	https://en.wikipedia.org/wiki/Bryce_Canyon_National_Park	National parks	37.583; -112.183	Unknown
Canyonlands National Park	Utah	https://en.wikipedia.org/wiki/Canyonlands_National_Park	National parks	38.16691; -109.75966	Canyonlands National Park is an American national park located in southeastern Utah near the town of Moab.  The park preserves a colorful landscape eroded into numerous canyons, mesas, and buttes by the Colorado River, the Green River, and their respective tributaries.
Capitol Reef National Park	Utah	https://en.wikipedia.org/wiki/Capitol_Reef_National_Park	National parks	38.200; -111.167	Capitol Reef National Park is an American national park in south-central Utah.  The park is approximately 60 miles (97 km) long on its north–south axis and just 6 miles (9.7 km) wide on average.
Carlsbad Caverns National Park	New Mexico	https://en.wikipedia.org/wiki/Carlsbad_Caverns_National_Park	National parks	32.17528; -104.44389	Carlsbad Caverns National Park is an American national park in the Guadalupe Mountains of southeastern New Mexico.  The primary attraction of the park is the show cave Carlsbad Cavern.
Channel Islands National Park	California	https://en.wikipedia.org/wiki/Channel_Islands_National_Park	National parks	34.0083; -119.4167	Channel Islands National Park consists of five of the eight Channel Islands off the Pacific coast of the U. S.
Congaree National Park	South Carolina	https://en.wikipedia.org/wiki/Congaree_National_Park	National parks	33.78333; -80.78333	Congaree National Park is a 26,692.6-acre (41.7 sq mi; 108.0 km2) American national park in central South Carolina, 18 miles southeast of the state capital, Columbia.  The park preserves the largest tract of old growth bottomland hardwood forest left in the United States.
Crater Lake National Park	Oregon	https://en.wikipedia.org/wiki/Crater_Lake_National_Park	National parks	42.91183; -122.14807	Crater Lake National Park is an American national park located in southern Oregon.  Established in 1902, Crater Lake is the fifth-oldest national park in the United States and the only national park in Oregon.
Cuyahoga Valley National Park	Ohio	https://en.wikipedia.org/wiki/Cuyahoga_Valley_National_Park	National parks	41.24167; -81.54972	Cuyahoga Valley National Park is an American national park that preserves and reclaims the rural landscape along the Cuyahoga River between Akron and Cleveland in Northeast Ohio..
Death Valley National Park	California, Nevada	https://en.wikipedia.org/wiki/Death_Valley_National_Park	National parks	36.24194; -116.82583	Unknown
Denali National Park	Alaska	https://en.wikipedia.org/wiki/Denali_National_Park_and_Preserve	National parks	63.43; -150.32	Denali National Park and Preserve, formerly known as Mount McKinley National Park, is an American national park and preserve located in Interior Alaska, centered on Denali, the highest mountain in North America.  The park and contiguous preserve encompass 6,045,153 acres (9,446 sq mi; 24,464 km2) which is larger than the state of New Hampshire.
Dry Tortugas National Park	Florida	https://en.wikipedia.org/wiki/Dry_Tortugas_National_Park	National parks	24.628588; -82.873287	Dry Tortugas National Park is a national park located about 68 miles (109 km) west of Key West in the Gulf of Mexico, in the United States.  The park preserves Fort Jefferson and the seven Dry Tortugas islands, the westernmost and most isolated of the Florida Keys.
Everglades National Park	Florida	https://en.wikipedia.org/wiki/Everglades_National_Park	National parks	25.3125000; -80.6875000	Unknown
Gates of the Arctic National Park	Alaska	https://en.wikipedia.org/wiki/Gates_of_the_Arctic_National_Park_and_Preserve	National parks	67.783; -153.300	Gates of the Arctic National Park and Preserve is an American national park that protects portions of the Brooks Range in northern Alaska.  The park is the northernmost national park in the United States, situated entirely north of the Arctic Circle.
